15.0,32,2.6.1,,,,,,
Test,CBC,Gurobi,NeosCBC,Bonmin,Couenne,NOMAD,NeosBon,NeosCou
SimpleLP,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
OverlappingVars,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BlankRHS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BlankLHS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
TextRHS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
ErrorRHS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
ErrorLHS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
ErrorObj,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
TextObj,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
MergedVarsSubset,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
MergedVarsOK,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
MergedVarsBad,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
MergedRHS_OK,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
MergedLHS_OK,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
MergedLHSMultiple_OK,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BinIntOverlap,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
ConFormula,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
ConFormulaInf,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BadName!,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
EscapeSheetName(1)+2-1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
DeletedConRef,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
DeletedObjRef,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
InfConstConstraint,PASS,PASS,PASS,PASS,FAIL*,PASS,PASS,PASS
FeasConstConstraint,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
ProtectedSheet,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
IndirectLBs,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
DirectLBs,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
SingleRangeLB,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
BinLB,PASS,PASS,PASS,PASS,FAIL*,FAIL*,PASS,PASS
BinIntLB,PASS,PASS,PASS,PASS,FAIL*,FAIL*,PASS,PASS
Relaxation,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
LargeRangeLB,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
OverlapRangeLB,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
OverlapRangeLBwithFormula,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
ConstFormulaRangeLB,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
VariableFormulaRangeLB,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
ConstraintLB,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
ConstantLB,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
FormulaLB,PASS,PASS,PASS,PASS,FAIL*,PASS,PASS,PASS
VarConstraintLB,PASS,PASS,PASS,PASS,FAIL*,PASS,PASS,PASS
FractionalCoeffs,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
ComplexLayout,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
InfModel,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
IterativeCalc,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
NoObj,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
SeekObj,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
NamedRanges,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
QuickSolve,PASS,PASS,PASS,NA,NA,NA,NA,NA
SolverParameters,PASS,PASS,PASS,PASS*,FAIL*,FAIL*,PASS,FAIL*
Sensitivity,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
SensitivityNames,PASS,PASS,PASS,PASS,PASS,FAIL*,PASS,PASS
NonLinSimple,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
NonLinLarge,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
NonLinObj,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
NonLinPruning,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
NonLinMinMax,PASS,PASS,PASS,PASS,FAIL*,PASS,PASS,FAIL*
NonLinConstraints,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
NonLinBinary,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
NonLin,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
NonLin2,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
NonLin3,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
NonLin4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
NonLin5,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
NonLin6,PASS,PASS,PASS,FAIL*,PASS,FAIL*,FAIL*,PASS
